Name,Rank,Platform,Year,Genre,Publisher,NA_Sales,EU_Sales,JP_Sales,Other_Sales,Global_Sales,NA_Sales_log,EU_Sales_log,JP_Sales_log,Other_Sales_log,Global_Sales_log,Is_Japan_Hit
The King of Fighters XIII,5796,PS3,2011,Fighting,Rising Star Games,0.17,0.07,0.04,0.03,0.31,0.15700374880966475,0.06765864847381481,0.039220713153281295,0.0295588022415444,0.27002713721306015,0
Marvel: Ultimate Alliance 2,6711,PSP,2009,Role-Playing,Activision,0.17,0.04,0.0,0.04,0.25,0.15700374880966475,0.039220713153281295,0.0,0.039220713153281295,0.22314355131420976,0
Jissen Pachi-Slot Hisshouhou! Hokuto no Ken SE,6848,PS2,2006,Misc,Sega,0.0,0.0,0.24,0.0,0.24,0.0,0.0,0.2151113796169455,0.0,0.2151113796169455,0
Azurik: Rise of Perathia,6849,XB,2001,Action,Microsoft Game Studios,0.18,0.05,0.0,0.01,0.24,0.16551443847757338,0.04879016416943201,0.0,0.009950330853168083,0.2151113796169455,0
Breath of Fire,7172,GBA,2001,Role-Playing,Ubisoft,0.11,0.04,0.06,0.0,0.22,0.10436001532424277,0.039220713153281295,0.058268908123975775,0.0,0.1988508587451652,0
Disaster Report,7333,PS2,2002,Action,Agetec,0.03,0.02,0.15,0.01,0.21,0.0295588022415444,0.019802627296179712,0.13976194237515868,0.009950330853168083,0.1906203596086497,0
From Russia With Love,7648,XB,2005,Action,Electronic Arts,0.15,0.04,0.0,0.01,0.2,0.13976194237515868,0.039220713153281295,0.0,0.009950330853168083,0.18232155679395462,0
The Game of Life / Yahtzee / Payday,8133,GBA,2005,Misc,Zoo Digital Publishing,0.13,0.05,0.0,0.0,0.18,0.12221763272424921,0.04879016416943201,0.0,0.0,0.16551443847757338,0
RoadKill,8304,PS2,2003,Action,Midway Games,0.08,0.07,0.0,0.02,0.17,0.07696104113612832,0.06765864847381481,0.0,0.019802627296179712,0.15700374880966475,0
Hanjuku Eiyuu Tai 3D,8305,PS2,2003,Role-Playing,Square Enix,0.0,0.0,0.17,0.0,0.17,0.0,0.0,0.15700374880966475,0.0,0.15700374880966475,0
Phantasy Star Online 2,8469,PSV,2013,Role-Playing,Sega,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.14842000511827327,0.0,0.14842000511827327,0
Gunslingers,8484,Wii,2010,Shooter,Neko Entertainment,0.08,0.06,0.0,0.02,0.16,0.07696104113612832,0.058268908123975775,0.0,0.019802627296179712,0.14842000511827327,0
Battle Soccer: Field no Hasha,8619,SNES,1992,Sports,Banpresto,0.0,0.0,0.16,0.0,0.16,0.0,0.0,0.14842000511827327,0.0,0.14842000511827327,0
Robots,9175,DS,2005,Action,Vivendi Games,0.12,0.01,0.0,0.01,0.14,0.11332868530700317,0.009950330853168083,0.0,0.009950330853168083,0.1310282624064041,0
NHL 2K8,9344,X360,2007,Sports,Take-Two Interactive,0.11,0.01,0.0,0.01,0.13,0.10436001532424277,0.009950330853168083,0.0,0.009950330853168083,0.12221763272424921,0
Sega GT,9557,DC,2000,Racing,Sega,0.0,0.0,0.13,0.0,0.13,0.0,0.0,0.12221763272424921,0.0,0.12221763272424921,0
The King of Fighters '94,9719,NG,1994,Fighting,SNK,0.0,0.0,0.12,0.0,0.12,0.0,0.0,0.11332868530700317,0.0,0.11332868530700317,0
Yu-Gi-Oh! 5D's Wheelie Breakers,10477,Wii,2009,Racing,Konami Digital Entertainment,0.09,0.01,0.0,0.01,0.1,0.08617769624105233,0.009950330853168083,0.0,0.009950330853168083,0.09531017980432487,0
3D Tank Warfare Simulator Panzer Front,10597,PS,1999,Simulation,Avalon Interactive,0.06,0.04,0.0,0.01,0.1,0.058268908123975775,0.039220713153281295,0.0,0.009950330853168083,0.09531017980432487,0
Piglet's Big Game,10709,PS2,2003,Platform,Gotham Games,0.05,0.04,0.0,0.01,0.1,0.04879016416943201,0.039220713153281295,0.0,0.009950330853168083,0.09531017980432487,0
Agatha Christie: Evil Under the Sun,11030,Wii,2008,Adventure,The Adventure Company,0.07,0.02,0.0,0.01,0.09,0.06765864847381481,0.019802627296179712,0.0,0.009950330853168083,0.08617769624105233,0
Saikyou Habu Shogi,11048,N64,1996,Misc,Seta Corporation,0.0,0.0,0.06,0.03,0.09,0.0,0.0,0.058268908123975775,0.0295588022415444,0.08617769624105233,0
Super Monkey Ball Adventure,11375,PSP,2006,Platform,Sega,0.05,0.02,0.0,0.01,0.08,0.04879016416943201,0.019802627296179712,0.0,0.009950330853168083,0.07696104113612832,0
Cosmic Family,11616,Wii,2007,Misc,Ubisoft,0.07,0.0,0.0,0.01,0.08,0.06765864847381481,0.0,0.0,0.009950330853168083,0.07696104113612832,0
Teenage Mutant Ninja Turtles: Mutants in Manhattan,11843,PS4,2016,Action,Activision,0.04,0.02,0.0,0.01,0.07,0.039220713153281295,0.019802627296179712,0.0,0.009950330853168083,0.06765864847381481,0
Anubis II,12011,Wii,2007,Platform,Metro 3D,0.06,0.0,0.0,0.0,0.07,0.058268908123975775,0.0,0.0,0.0,0.06765864847381481,0
Lost in Blue 2,12128,DS,2007,Adventure,Konami Digital Entertainment,0.01,0.01,0.05,0.0,0.07,0.009950330853168083,0.009950330853168083,0.04879016416943201,0.0,0.06765864847381481,0
The Tale of Despereaux,12142,DS,2008,Platform,Brash Entertainment,0.06,0.0,0.0,0.0,0.07,0.058268908123975775,0.0,0.0,0.0,0.06765864847381481,0
Disney Infinity,12230,PSV,2013,Action,Disney Interactive Studios,0.05,0.0,0.0,0.02,0.07,0.04879016416943201,0.0,0.0,0.019802627296179712,0.06765864847381481,0
My Horse & Me: Riding for Gold,12812,Wii,2008,Sports,Atari,0.04,0.02,0.0,0.0,0.06,0.039220713153281295,0.019802627296179712,0.0,0.0,0.058268908123975775,0
The BIGS 2,13016,DS,2009,Sports,Take-Two Interactive,0.05,0.0,0.0,0.0,0.05,0.04879016416943201,0.0,0.0,0.0,0.04879016416943201,0
Pool Party,13330,Wii,2007,Sports,SouthPeak Games,0.04,0.0,0.0,0.0,0.05,0.039220713153281295,0.0,0.0,0.0,0.04879016416943201,0
Justice League: Chronicles,13532,GBA,2003,Platform,Midway Games,0.03,0.01,0.0,0.0,0.04,0.0295588022415444,0.009950330853168083,0.0,0.0,0.039220713153281295,0
Outlaw Tennis,13588,XB,2005,Sports,Global Star,0.03,0.01,0.0,0.0,0.04,0.0295588022415444,0.009950330853168083,0.0,0.0,0.039220713153281295,0
Cabela's Big Game Hunter: Pro Hunts,14486,PS3,2014,Shooter,Activision,0.03,0.0,0.0,0.0,0.03,0.0295588022415444,0.0,0.0,0.0,0.0295588022415444,0
DJ Max Portable 3,14508,PSP,2010,Misc,CyberFront,0.01,0.0,0.02,0.0,0.03,0.009950330853168083,0.0,0.019802627296179712,0.0,0.0295588022415444,0
Vantage Master Portable,14982,PSP,2008,Role-Playing,Falcom Corporation,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
Red Ninja: End of Honor,15598,XB,2005,Action,Vivendi Games,0.01,0.0,0.0,0.0,0.02,0.009950330853168083,0.0,0.0,0.0,0.019802627296179712,0
Elminage II: Sousei no Megami to Unmei no Daichi,15641,PSP,2009,Role-Playing,Starfish,0.0,0.0,0.02,0.0,0.02,0.0,0.0,0.019802627296179712,0.0,0.019802627296179712,0
Mechanic Master 2,15697,DS,2010,Puzzle,Crave Entertainment,0.02,0.0,0.0,0.0,0.02,0.019802627296179712,0.0,0.0,0.0,0.019802627296179712,0
San-X Character Channel: All-Star Daishuugou!,16179,DS,2008,Action,MTO,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.009950330853168083,0.0,0.009950330853168083,0
Bakumatsu Rock,16219,PSP,2014,Action,Marvelous Entertainment,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.009950330853168083,0.0,0.009950330853168083,0
Assetto Corsa,16279,XOne,2016,Racing,505 Games,0.0,0.01,0.0,0.0,0.01,0.0,0.009950330853168083,0.0,0.0,0.009950330853168083,0
Vitamin Y,16466,DS,2008,Adventure,D3Publisher,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.009950330853168083,0.0,0.009950330853168083,0
Hirameki Action: Chibikko Wagyan no Daiki na Bouken,16532,DS,2009,Action,Namco Bandai Games,0.0,0.0,0.01,0.0,0.01,0.0,0.0,0.009950330853168083,0.0,0.009950330853168083,0
Deca Sports,606,Wii,2008,Sports,Konami Digital Entertainment,1.13,0.87,0.29,0.25,2.54,0.7561219797213337,0.6259384308664953,0.2546422183735807,0.22314355131420976,1.264126727145683,0
The Sims: Bustin' Out,635,PS2,2003,Simulation,Electronic Arts,1.07,1.19,0.0,0.18,2.43,0.7275486072772778,0.7839015438284094,0.0,0.16551443847757338,1.2325602611778486,0
Need For Speed: Undercover,1069,X360,2008,Racing,Electronic Arts,0.79,0.71,0.01,0.18,1.69,0.5822156198526637,0.5364933705145685,0.009950330853168083,0.16551443847757338,0.9895411936137477,0
Hannah Montana: Music Jam,1179,DS,2007,Action,Disney Interactive Studios,1.06,0.37,0.0,0.15,1.58,0.7227059828014898,0.31481073984003355,0.0,0.13976194237515868,0.9477893989335261,0
Spider-Man 2: Enter: Electro,1203,PS,2001,Action,Activision,0.57,0.87,0.02,0.09,1.55,0.4510756193602167,0.6259384308664953,0.019802627296179712,0.08617769624105233,0.9360933591703348,0
Fight Night 2004,1285,PS2,2004,Fighting,Electronic Arts,1.08,0.2,0.0,0.2,1.48,0.7323678937132266,0.18232155679395462,0.0,0.18232155679395462,0.9082585601768908,0
Sonic Colors,1420,DS,2010,Platform,Sega,0.74,0.5,0.01,0.13,1.37,0.5538851132264376,0.4054651081081644,0.009950330853168083,0.12221763272424921,0.8628899551470399,0
The ICO & Shadow of the Colossus Collection,1456,PS3,2011,Adventure,Sony Computer Entertainment,0.67,0.37,0.13,0.17,1.35,0.5128236264286637,0.31481073984003355,0.12221763272424921,0.15700374880966475,0.8544153281560676,0
Road Rash,1556,PS,1995,Racing,Electronic Arts,0.71,0.48,0.0,0.08,1.27,0.5364933705145685,0.3920420877760237,0.0,0.07696104113612832,0.8197798314933114,0
Destiny: The Taken King,1739,XOne,2015,Shooter,Activision,0.82,0.23,0.0,0.11,1.17,0.598836501088704,0.20701416938432615,0.0,0.10436001532424277,0.7747271675523681,0
Empire: Total War,1884,PC,2009,Strategy,Sega,0.01,0.97,0.0,0.11,1.09,0.009950330853168083,0.6780335427498971,0.0,0.10436001532424277,0.7371640659767197,0
Marvel vs. Capcom 3: Fate of Two Worlds,1918,X360,2011,Fighting,Capcom,0.79,0.18,0.03,0.07,1.08,0.5822156198526637,0.16551443847757338,0.0295588022415444,0.06765864847381481,0.7323678937132266,0
LEGO Indiana Jones: The Original Adventures,1954,PS3,2008,Action,Activision,0.44,0.44,0.0,0.18,1.06,0.36464311358790924,0.36464311358790924,0.0,0.16551443847757338,0.7227059828014898,0
Prince of Persia: The Sands of Time,2216,XB,2003,Action,Ubisoft,0.57,0.33,0.0,0.04,0.94,0.4510756193602167,0.2851789422336624,0.0,0.039220713153281295,0.6626879730752367,0
Sonic Heroes,2309,XB,2003,Platform,Sega,0.41,0.43,0.01,0.05,0.9,0.3435897043900769,0.3576744442718159,0.009950330853168083,0.04879016416943201,0.6418538861723948,0
Tales of the Abyss,2521,3DS,2011,Role-Playing,Namco Bandai Games,0.42,0.19,0.14,0.06,0.82,0.35065687161316933,0.173953307123438,0.1310282624064041,0.058268908123975775,0.598836501088704,0
Sniper: Ghost Warrior,2595,PS3,2011,Shooter,City Interactive,0.26,0.36,0.04,0.14,0.8,0.23111172096338664,0.3074846997479606,0.039220713153281295,0.1310282624064041,0.5877866649021191,0
Persona 4: Arena,2791,PS3,2012,Fighting,Atlus,0.3,0.12,0.24,0.07,0.74,0.26236426446749106,0.11332868530700317,0.2151113796169455,0.06765864847381481,0.5538851132264376,0
London 2012: The Official Video Game of the Olympic Games,2904,PS3,2012,Sports,Sega,0.06,0.5,0.0,0.15,0.7,0.058268908123975775,0.4054651081081644,0.0,0.13976194237515868,0.5306282510621704,0
Picross DS,3925,DS,2007,Puzzle,Nintendo,0.17,0.02,0.3,0.02,0.51,0.15700374880966475,0.019802627296179712,0.26236426446749106,0.019802627296179712,0.412109650826833,0
Kane & Lynch 2: Dog Days,4031,X360,2010,Shooter,Square Enix,0.2,0.23,0.01,0.05,0.49,0.18232155679395462,0.20701416938432615,0.009950330853168083,0.04879016416943201,0.3987761199573678,0
SpongeBob SquarePants: Creature from the Krusty Krab,4038,DS,2006,Platform,THQ,0.45,0.0,0.0,0.04,0.49,0.37156355643248307,0.0,0.0,0.039220713153281295,0.3987761199573678,0
Resistance: Burning Skies,4329,PSV,2012,Shooter,Sony Computer Entertainment,0.21,0.16,0.02,0.07,0.45,0.1906203596086497,0.14842000511827327,0.019802627296179712,0.06765864847381481,0.37156355643248307,0
Blood Omen: Legacy of Kain,4451,PS,1996,Role-Playing,Crystal Dynamics,0.25,0.17,0.0,0.03,0.44,0.22314355131420976,0.15700374880966475,0.0,0.0295588022415444,0.36464311358790924,0
Sin and Punishment: Star Successor,4455,Wii,2009,Shooter,Nintendo,0.2,0.14,0.06,0.04,0.44,0.18232155679395462,0.1310282624064041,0.058268908123975775,0.039220713153281295,0.36464311358790924,0
Army Men World War: Final Front,4460,PS,2001,Action,3DO,0.24,0.17,0.0,0.03,0.44,0.2151113796169455,0.15700374880966475,0.0,0.0295588022415444,0.36464311358790924,0
The Legend of Spyro: The Eternal Night,4575,PS2,2007,Platform,Vivendi Games,0.21,0.16,0.0,0.05,0.42,0.1906203596086497,0.14842000511827327,0.0,0.04879016416943201,0.35065687161316933,0
Cyber Troopers Virtual-On,4672,SAT,1995,Fighting,Sega,0.0,0.0,0.42,0.0,0.42,0.0,0.0,0.35065687161316933,0.0,0.35065687161316933,0
Boxer's Road,5247,PS,1995,Fighting,New,0.0,0.0,0.33,0.02,0.36,0.0,0.0,0.2851789422336624,0.019802627296179712,0.3074846997479606,0
Nicktoons: Unite!,5272,GC,2005,Adventure,THQ,0.27,0.07,0.0,0.01,0.35,0.23901690047049992,0.06765864847381481,0.0,0.009950330853168083,0.30010459245033805,0
Xbox Music Mixer,5317,XB,2003,Misc,Microsoft Game Studios,0.26,0.08,0.0,0.01,0.35,0.23111172096338664,0.07696104113612832,0.0,0.009950330853168083,0.30010459245033805,0
Naruto Shippuden: Ultimate Ninja Impact,5346,PSP,2011,Fighting,Namco Bandai Games,0.09,0.07,0.15,0.04,0.35,0.08617769624105233,0.06765864847381481,0.13976194237515868,0.039220713153281295,0.30010459245033805,0
Tekken 6,5598,PSP,2009,Fighting,Namco Bandai Games,0.15,0.04,0.1,0.03,0.32,0.13976194237515868,0.039220713153281295,0.09531017980432487,0.0295588022415444,0.2776317365982795,0
Finding Nemo: The Continuing Adventures,5938,GBA,2004,Action,THQ,0.21,0.08,0.0,0.01,0.3,0.1906203596086497,0.07696104113612832,0.0,0.009950330853168083,0.26236426446749106,0
Teenage Mutant Ninja Turtles,5948,XB,2003,Action,Konami Digital Entertainment,0.22,0.06,0.0,0.01,0.3,0.1988508587451652,0.058268908123975775,0.0,0.009950330853168083,0.26236426446749106,0
Bomberman Tournament,6665,GBA,2001,Puzzle,Activision,0.1,0.04,0.1,0.01,0.25,0.09531017980432487,0.039220713153281295,0.09531017980432487,0.009950330853168083,0.22314355131420976,0
Ace Combat: Assault Horizon Legacy,6802,3DS,2011,Simulation,Namco Bandai Games,0.1,0.06,0.08,0.01,0.24,0.09531017980432487,0.058268908123975775,0.07696104113612832,0.009950330853168083,0.2151113796169455,0
Critical Depth,7077,PS,1997,Action,GT Interactive,0.13,0.09,0.0,0.01,0.23,0.12221763272424921,0.08617769624105233,0.0,0.009950330853168083,0.20701416938432615,0
Dragon Ball Z Hyper Dimension,7387,SNES,1995,Fighting,Namco Bandai Games,0.0,0.0,0.21,0.0,0.21,0.0,0.0,0.1906203596086497,0.0,0.1906203596086497,0
Hot Shots Tennis: Get a Grip,7404,PSP,2010,Sports,Sony Computer Entertainment,0.06,0.0,0.13,0.01,0.21,0.058268908123975775,0.0,0.12221763272424921,0.009950330853168083,0.1906203596086497,0
Fire ProWrestling G,7830,PS,1999,Fighting,Human Entertainment,0.0,0.0,0.18,0.01,0.19,0.0,0.0,0.16551443847757338,0.009950330853168083,0.173953307123438,0
Frequency,7844,PS2,2001,Misc,Sony Computer Entertainment,0.09,0.07,0.0,0.02,0.19,0.08617769624105233,0.06765864847381481,0.0,0.019802627296179712,0.173953307123438,0
Pokémon Beach Blank-out Blastoise / Go West Young Meowth Game Boy Advance Video,8345,GBA,2004,Misc,Nintendo,0.12,0.05,0.0,0.0,0.17,0.11332868530700317,0.04879016416943201,0.0,0.0,0.15700374880966475,0
Dynasty Warriors 8: Xtreme Legends,8501,PS3,2013,Action,Tecmo Koei,0.02,0.03,0.11,0.01,0.16,0.019802627296179712,0.0295588022415444,0.10436001532424277,0.009950330853168083,0.14842000511827327,0
Jikkyou Powerful Pro Yakyuu Portable,8763,PSP,2006,Sports,Konami Digital Entertainment,0.0,0.0,0.15,0.0,0.15,0.0,0.0,0.13976194237515868,0.0,0.13976194237515868,0
The Price is Right 2010 Edition,9527,DS,2009,Misc,Ubisoft,0.12,0.0,0.0,0.01,0.13,0.11332868530700317,0.0,0.0,0.009950330853168083,0.12221763272424921,0
Killer is Dead,9803,X360,2013,Action,Deep Silver,0.08,0.02,0.01,0.01,0.12,0.07696104113612832,0.019802627296179712,0.009950330853168083,0.009950330853168083,0.11332868530700317,0
Tokimeki Memorial: Girl's Side 2nd Season,10148,DS,2008,Adventure,Konami Digital Entertainment,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.10436001532424277,0.0,0.10436001532424277,0
Tales of the World: Reve Unitia,10388,3DS,2014,Role-Playing,Namco Bandai Games,0.0,0.0,0.11,0.0,0.11,0.0,0.0,0.10436001532424277,0.0,0.10436001532424277,0
Fallout 3 Game Add-On Pack: The Pitt and Operation: Anchorage,10567,X360,2009,Role-Playing,Bethesda Softworks,0.09,0.01,0.0,0.01,0.1,0.08617769624105233,0.009950330853168083,0.0,0.009950330853168083,0.09531017980432487,0
Ciel Nosurge: Ushinawareta Hoshi e Sasagu Uta,10785,PSV,2012,Adventure,Gust,0.0,0.0,0.1,0.0,0.1,0.0,0.0,0.09531017980432487,0.0,0.09531017980432487,0
Pac-Man World Rally,11353,GC,2006,Racing,Namco Bandai Games,0.06,0.02,0.0,0.0,0.08,0.058268908123975775,0.019802627296179712,0.0,0.0,0.07696104113612832,0
Rayman Origins,11605,PC,2012,Platform,Ubisoft,0.0,0.06,0.0,0.01,0.08,0.0,0.058268908123975775,0.0,0.009950330853168083,0.07696104113612832,0
Pro Evolution Soccer 2015,12229,PC,2014,Sports,Konami Digital Entertainment,0.0,0.06,0.0,0.01,0.07,0.0,0.058268908123975775,0.0,0.009950330853168083,0.06765864847381481,0
Taiho Shichauzo!,13056,PS,2001,Adventure,Pioneer LDC,0.0,0.0,0.05,0.0,0.05,0.0,0.0,0.04879016416943201,0.0,0.04879016416943201,0
Company of Heroes: Tales of Valor,13635,PC,2009,Strategy,THQ,0.0,0.03,0.0,0.01,0.04,0.0,0.0295588022415444,0.0,0.009950330853168083,0.039220713153281295,0
12Riven: The Psi-Climinal of Integral,13692,PS2,2008,Adventure,CyberFront,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.039220713153281295,0.0,0.039220713153281295,0
Tenshou Gakuen Gekkouroku,13940,PS2,2006,Adventure,Asmik Ace Entertainment,0.0,0.0,0.04,0.0,0.04,0.0,0.0,0.039220713153281295,0.0,0.039220713153281295,0
BeatMania IIDX 14 Gold,14317,PS2,2008,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0295588022415444,0.0,0.0295588022415444,0
Gokujou!! Mecha Mote Iinchou: MM My Best Friend!,14346,DS,2010,Simulation,Konami Digital Entertainment,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0295588022415444,0.0,0.0295588022415444,0
Langrisser: Re:Incarnation Tensei,14470,3DS,2015,Role-Playing,Extreme Entertainment Group,0.02,0.0,0.01,0.0,0.03,0.019802627296179712,0.0,0.009950330853168083,0.0,0.0295588022415444,0
Gotouchi Tetsudou: Gotouchi Chara to Nihon Zenkoku no Tabi,14475,WiiU,2014,Misc,Namco Bandai Games,0.0,0.0,0.03,0.0,0.03,0.0,0.0,0.0295588022415444,0.0,0.0295588022415444,0
Whiteout,14631,XB,2002,Racing,Konami Digital Entertainment,0.02,0.01,0.0,0.0,0.03,0.019802627296179712,0.009950330853168083,0.0,0.0,0.0295588022415444,0
Kill.Switch,15279,GBA,2004,Shooter,Zoo Digital Publishing,0.02,0.01,0.0,0.0,0.02,0.019802627296179712,0.009950330853168083,0.0,0.0,0.019802627296179712,0
Hurry Up Hedgehog!,15760,DS,2009,Racing,O-Games,0.02,0.0,0.0,0.0,0.02,0.019802627296179712,0.0,0.0,0.0,0.019802627296179712,0
